336,528,2,1,2,5,10,336,250,120,600,336,28,59.94,1,0,0,0;
672,752,3,2,6,1,6,336,250,480,480,672,2,59.94,0,0,0,0;
496,240,2,1,2,1,2,496,120,480,480,0,0,59.94,0,0,0,0;
672,752,3,2,6,1,6,336,250,480,480,672,2,59.94,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
496,384,6,1,6,1,6,496,64,400,400,0,0,59.94,0,0,0,0;
352,256,2,1,2,1,2,352,128,240,240,0,0,59.94,0,0,0,0;
496,224,2,1,2,1,2,496,112,496,496,0,0,59.94,0,0,0,0;
496,512,2,1,2,1,2,496,256,480,480,0,0,59.94,0,0,0,0;
512,512,2,2,4,1,4,256,256,480,480,0,0,59.94,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
400,576,4,1,4,2,8,400,144,240,480,0,0,59.94,0,0,0,0;
672,736,4,2,8,4,32,336,180,120,480,672,16,59.94,1,0,0,0;
400,576,4,1,4,2,8,400,144,240,480,0,0,59.94,0,0,0,0;
400,576,4,1,4,2,8,400,144,240,480,0,0,59.94,0,0,0,0;
400,576,4,1,4,2,8,400,144,240,480,0,0,59.94,0,0,0,0;
400,576,4,1,4,2,8,400,144,240,480,0,0,59.94,0,0,0,0;
400,576,4,1,4,2,8,400,144,240,480,0,0,59.94,0,0,0,0;
400,576,4,1,4,2,8,400,144,240,480,0,0,59.94,0,0,0,0;
400,576,4,1,4,2,8,400,144,240,480,0,0,59.94,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
256,192,1,1,1,1,1,256,192,8300,8300,0,0,59.94,0,1,1,32000;
256,192,1,1,1,1,1,256,192,7000,7000,0,0,50,0,1,1,32000;
256,192,1,1,1,1,1,256,192,8093,8093,0,0,59.94,0,1,1,32000;
256,192,1,1,1,1,1,256,192,7000,7000,0,0,50,0,1,1,32000;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
608,464,1,1,1,1,1,608,464,4250,4250,0,0,59.94,0,1,1,32000;
608,464,1,1,1,1,1,608,464,3545,3545,0,0,50,0,1,1,32000;
608,464,1,1,1,1,1,608,464,4250,4250,0,0,59.94,0,1,1,32000;
608,464,1,1,1,1,1,608,464,3545,3545,0,0,50,0,1,1,32000;
512,192,2,2,4,1,4,256,96,720,720,0,0,59.95,0,0,0,0;
